Customer_ID,Age,Annual_Income,Spending_Score,Purchase_Frequency
C001,22,25000,35,4
C002,25,28000,40,5
C003,23,30000,45,6
C004,27,32000,38,5
C005,24,27000,42,4
C006,35,55000,70,12
C007,38,60000,75,14
C008,40,65000,80,15
C009,36,58000,72,13
C010,42,70000,85,16
C011,29,45000,55,8
C012,31,48000,60,9
C013,33,50000,58,10
C014,30,47000,62,9
C015,34,52000,65,11
C016,45,90000,30,3
C017,50,95000,25,2
C018,48,88000,35,4
C019,52,100000,28,3
C020,47,92000,32,4
C021,21,22000,30,3
C022,26,29000,37,5
C023,28,35000,48,7
C024,32,42000,52,8
C025,37,57000,68,12
C026,39,62000,76,14
C027,41,68000,82,15
C028,44,75000,78,13
C029,46,82000,45,6
C030,49,87000,40,5
